DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
Údolná;Údolná;969 01;Banská Štiavnica 1;Banská Štiavnica 1;;Banská Štiavnica
Úvozná;Úvozná;969 01;Banská Štiavnica 1;Banská Štiavnica 1;;Banská Štiavnica
Úzka;Úzka;969 01;Banská Štiavnica 1;Banská Štiavnica 1;;Banská Štiavnica
V. Václavekovej;V. Václavekovej;969 01;Banská Štiavnica 1;Banská Štiavnica 1;;Banská Štiavnica
Vilová;Vilová;969 01;Banská Štiavnica 1;Banská Štiavnica 1;;Banská Štiavnica
Vodárenská;Vodárenská;969 01;Banská Štiavnica 1;Banská Štiavnica 1;;Banská Štiavnica
Vyhnianska;Vyhnianska;969 01;Banská Štiavnica 1;Banská Štiavnica 1;;Banská Štiavnica
Vıskumnícka;Vıskumnícka;969 01;Banská Štiavnica 1;Banská Štiavnica 1;;Banská Štiavnica
Záhradná;Záhradná;969 01;Banská Štiavnica 1;Banská Štiavnica 1;;Banská Štiavnica
Zvonová;Zvonová;969 01;Banská Štiavnica 1;Banská Štiavnica 1;;Banská Štiavnica
eleznièiarska;eleznièiarska;969 01;Banská Štiavnica 1;Banská Štiavnica 1;;Banská Štiavnica
29.augusta;29.augusta;085 01;Bardejov 1;Bardejov 1;;Bardejov
9.mája;9.mája;085 01;Bardejov 1;Bardejov 1;;Bardejov
Andrašèíkova;Andrašèíkova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Andreja Svianteka;Andreja Svianteka;085 01;Bardejov 1;Bardejov 1;;Bardejov
B.S.Timravy;B.S.Timravy;085 01;Bardejov 1;Bardejov 1;;Bardejov
Bardejovská Zábava;Bardejovská Zábava;085 01;Bardejov 1;Bardejov 1;;Bardejov
Bardejovské Kúpele;Bardejovské Kúpele;086 31;Bardejovské Kúpele;Bardejovské Kúpele;;Bardejov
Baštová;Baštová;085 01;Bardejov 1;Bardejov 1;;Bardejov
Bernolákova;Bernolákova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Bezruèova;Bezruèova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Brezová;Brezová;085 01;Bardejov 1;Bardejov 1;;Bardejov
Buková ulica;Buková ulica;085 01;Bardejov 1;Bardejov 1;;Bardejov
Cintorinská;Cintorinská;085 01;Bardejov 1;Bardejov 1;;Bardejov
Èerešòová;Èerešòová;085 01;Bardejov 1;Bardejov 1;;Bardejov
Èeskej Lípy;Èeskej Lípy;085 01;Bardejov 1;Bardejov 1;;Bardejov
Dlhá;Dlhá;085 01;Bardejov 1;Bardejov 1;;Bardejov
Dlhı rad;Dlhı rad;085 01;Bardejov 1;Bardejov 1;;Bardejov
Drustevná;Drustevná;085 01;Bardejov 1;Bardejov 1;;Bardejov
Dubová;Dubová;085 01;Bardejov 1;Bardejov 1;;Bardejov
Dujava;Dujava;085 01;Bardejov 1;Bardejov 1;;Bardejov
Duklianska;Duklianska;085 01;Bardejov 1;Bardejov 1;;Bardejov
Fraòa Krá¾a;Fraòa Krá¾a;085 01;Bardejov 1;Bardejov 1;;Bardejov
Františkánov;Františkánov;085 01;Bardejov 1;Bardejov 1;;Bardejov
Fuèíkova;Fuèíkova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Giraltovská;Giraltovská;085 01;Bardejov 1;Bardejov 1;;Bardejov
Gorkého;Gorkého;085 01;Bardejov 1;Bardejov 1;;Bardejov
Gorlická;Gorlická;085 01;Bardejov 1;Bardejov 1;;Bardejov
Gróner;Gróner;085 01;Bardejov 1;Bardejov 1;;Bardejov
Gutgeselova;Gutgeselova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Hlavná;Hlavná;085 01;Bardejov 1;Bardejov 1;;Bardejov
Homolkova;Homolkova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Hurbanova;Hurbanova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Hviezdoslavova;Hviezdoslavova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Chmelník;Chmelník;085 01;Bardejov 1;Bardejov 1;;Bardejov
Chyzerova;Chyzerova;085 01;Bardejov 1;Bardejov 1;;Bardejov
J.Grešáka;J.Grešáka;085 01;Bardejov 1;Bardejov 1;;Bardejov
J.Jesenského;J.Jesenského;085 01;Bardejov 1;Bardejov 1;;Bardejov
Jabloòová;Jabloòová;085 01;Bardejov 1;Bardejov 1;;Bardejov
Jána Bottu;Jána Bottu;085 01;Bardejov 1;Bardejov 1;;Bardejov
Jána Kalinèiaka;Jána Kalinèiaka;085 01;Bardejov 1;Bardejov 1;;Bardejov
Jána Švermu;Jána Švermu;085 01;Bardejov 1;Bardejov 1;;Bardejov
Janka Matušku;Janka Matušku;085 01;Bardejov 1;Bardejov 1;;Bardejov
Jiráskova;Jiráskova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Kacvinského;Kacvinského;085 01;Bardejov 1;Bardejov 1;;Bardejov
Kamenec;Kamenec;085 01;Bardejov 1;Bardejov 1;;Bardejov
Kellerova;Kellerova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Kláštorská;Kláštorská;085 01;Bardejov 1;Bardejov 1;;Bardejov
Komenského;Komenského;085 01;Bardejov 1;Bardejov 1;;Bardejov
Kostolná;Kostolná;085 01;Bardejov 1;Bardejov 1;;Bardejov
Kpt.Nálepku;Kpt.Nálepku;085 01;Bardejov 1;Bardejov 1;;Bardejov
Krátka;Krátka;085 01;Bardejov 1;Bardejov 1;;Bardejov
Krátky rad;Krátky rad;085 01;Bardejov 1;Bardejov 1;;Bardejov
Krátky Riadok;Krátky Riadok;085 01;Bardejov 1;Bardejov 1;;Bardejov
Kukorelliho;Kukorelliho;085 01;Bardejov 1;Bardejov 1;;Bardejov
Kukuèínova;Kukuèínova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Kúpe¾ná;Kúpe¾ná;085 01;Bardejov 1;Bardejov 1;;Bardejov
Kutuzovova;Kutuzovova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Kuzmányho;Kuzmányho;085 01;Bardejov 1;Bardejov 1;;Bardejov
Kvetinová;Kvetinová;085 01;Bardejov 1;Bardejov 1;;Bardejov
Laca Novomeského;Laca Novomeského;085 01;Bardejov 1;Bardejov 1;;Bardejov
¼aliová ulica;¼aliová ulica;086 31;Bardejovské Kúpele;Bardejovské Kúpele;;Bardejov
Lesná;Lesná;085 01;Bardejov 1;Bardejov 1;;Bardejov
Lipová;Lipová;085 01;Bardejov 1;Bardejov 1;;Bardejov
¼udovíta Štúra;¼udovíta Štúra;085 01;Bardejov 1;Bardejov 1;;Bardejov
M. Vileca;M. Vileca;085 01;Bardejov 1;Bardejov 1;;Bardejov
M.V.Miškovského;M.V.Miškovského;085 01;Bardejov 1;Bardejov 1;;Bardejov
Majer;Majer;085 01;Bardejov 1;Bardejov 1;;Bardejov
Makovická;Makovická;085 01;Bardejov 1;Bardejov 1;;Bardejov
Martina Benku;Martina Benku;085 01;Bardejov 1;Bardejov 1;;Bardejov
Mièkova ;Mièkova ;085 01;Bardejov 1;Bardejov 1;;Bardejov
Mihá¾ov;Mihá¾ov;085 01;Bardejov 1;Bardejov 1;;Bardejov
Mikulovská;Mikulovská;085 01;Bardejov 1;Bardejov 1;;Bardejov
Minerálna;Minerálna;085 01;Bardejov 1;Bardejov 1;;Bardejov
Mlynská;Mlynská;085 01;Bardejov 1;Bardejov 1;;Bardejov
Moyzesova;Moyzesova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Na Hradbách;Na Hradbách;085 01;Bardejov 1;Bardejov 1;;Bardejov
Nábrená;Nábrená;085 01;Bardejov 1;Bardejov 1;;Bardejov
Nám.arm.gen.L.Svobodu ;Nám.arm.gen.L.Svobodu ;085 01;Bardejov 1;Bardejov 1;;Bardejov
Námestie L. Berku;Námestie L. Berku;085 01;Bardejov 1;Bardejov 1;;Bardejov
Námestie SNP;Námestie SNP;085 01;Bardejov 1;Bardejov 1;;Bardejov
Námestie Svätej rodiny;Námestie Svätej rodiny;085 01;Bardejov 1;Bardejov 1;;Bardejov
Nová;Nová;085 01;Bardejov 1;Bardejov 1;;Bardejov
Novı sad;Novı sad;085 01;Bardejov 1;Bardejov 1;;Bardejov
Orechová;Orechová;085 01;Bardejov 1;Bardejov 1;;Bardejov
Pálenica;Pálenica;085 01;Bardejov 1;Bardejov 1;;Bardejov
Pánska;Pánska;085 01;Bardejov 1;Bardejov 1;;Bardejov
Partizánska;Partizánska;085 01;Bardejov 1;Bardejov 1;;Bardejov
Pod brehom;Pod brehom;085 01;Bardejov 1;Bardejov 1;;Bardejov
Pod Kalváriou;Pod Kalváriou;085 01;Bardejov 1;Bardejov 1;;Bardejov
Pod Kútmi;Pod Kútmi;085 01;Bardejov 1;Bardejov 1;;Bardejov
Pod lipkou;Pod lipkou;085 01;Bardejov 1;Bardejov 1;;Bardejov
Pod papieròou;Pod papieròou;085 01;Bardejov 1;Bardejov 1;;Bardejov
Pod Šibeòou horou;Pod Šibeòou horou;085 01;Bardejov 1;Bardejov 1;;Bardejov
Pod Vinbargom;Pod Vinbargom;085 01;Bardejov 1;Bardejov 1;;Bardejov
Postajok;Postajok;085 01;Bardejov 1;Bardejov 1;;Bardejov
Poštárka;Poštárka;085 01;Bardejov 1;Bardejov 1;;Bardejov
Poštová;Poštová;085 01;Bardejov 1;Bardejov 1;;Bardejov
Potoèná;Potoèná;085 01;Bardejov 1;Bardejov 1;;Bardejov
Pri štadióne;Pri štadióne;085 01;Bardejov 1;Bardejov 1;;Bardejov
Pri štepnici;Pri štepnici;085 01;Bardejov 1;Bardejov 1;;Bardejov
Priemyselná;Priemyselná;085 01;Bardejov 1;Bardejov 1;;Bardejov
Pøerovská;Pøerovská;085 01;Bardejov 1;Bardejov 1;;Bardejov
Puškinova;Puškinova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Radnièné námestie;Radnièné námestie;085 01;Bardejov 1;Bardejov 1;;Bardejov
Rhodyho;Rhodyho;085 01;Bardejov 1;Bardejov 1;;Bardejov
Rovná;Rovná;085 01;Bardejov 1;Bardejov 1;;Bardejov
Sady;Sady;085 01;Bardejov 1;Bardejov 1;;Bardejov
Sama Chalupku;Sama Chalupku;085 01;Bardejov 1;Bardejov 1;;Bardejov
Sázavského;Sázavského;085 01;Bardejov 1;Bardejov 1;;Bardejov
Sládkovièova;Sládkovièova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Slovenská;Slovenská;085 01;Bardejov 1;Bardejov 1;;Bardejov
Starı blich;Starı blich;085 01;Bardejov 1;Bardejov 1;;Bardejov
Stöckelova;Stöckelova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Stöcklova;Stöcklova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Sv. Jakuba;Sv. Jakuba;085 01;Bardejov 1;Bardejov 1;;Bardejov
Šiancova;Šiancova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Štefánikova;Štefánikova;085 01;Bardejov 1;Bardejov 1;;Bardejov
T. Ševèenku;T. Ševèenku;085 01;Bardejov 1;Bardejov 1;;Bardejov
aèevská;aèevská;085 01;Bardejov 1;Bardejov 1;;Bardejov
Tehelná;Tehelná;085 01;Bardejov 1;Bardejov 1;;Bardejov
Toplianska;Toplianska;085 01;Bardejov 1;Bardejov 1;;Bardejov
Veterná;Veterná;085 01;Bardejov 1;Bardejov 1;;Bardejov
Vodárenská;Vodárenská;085 01;Bardejov 1;Bardejov 1;;Bardejov
Wolkerova;Wolkerova;085 01;Bardejov 1;Bardejov 1;;Bardejov
Záhradná;Záhradná;085 01;Bardejov 1;Bardejov 1;;Bardejov
1. mája;1. mája;841 07;Bratislava 49;Bratislava 49;;Bratislava
29. augusta;29. augusta;811 07;Bratislava 1;Bratislava 1;"nepár.è. 1-5; pár. è. 2-6";Bratislava
29. augusta;29. augusta;811 08;Bratislava 1;Bratislava 1;è. 7, 8, 10, 18, 20;Bratislava
29. augusta;29. augusta;811 09;Bratislava 1;Bratislava 1;pár.è. 28-38, 32/A,B, 28/C,D, 38/A-C;Bratislava
29. augusta;29. augusta;811 09;Bratislava 1;Bratislava 1;"nepár.è. 9-23, 11/B,C, 15/E,F;";Bratislava
8. mája;8. mája;821 06;Bratislava 214;Bratislava 214;;Bratislava
A. Gwerkovej;A. Gwerkovej;851 04;Bratislava 5;Bratislava 5;;Bratislava
Adámiho;Adámiho;841 05;Bratislava 4;Bratislava 4;;Bratislava
Adlerova;Adlerova;;;;pozri Karola Adlera;Bratislava
Agátová;Agátová;841 01;Bratislava 42;Bratislava 42;;Bratislava
Ágosta Sõtéra;Ágosta Sõtéra;851 10;Bratislava 59;Bratislava 59;;Bratislava
Ahoj;Ahoj;831 02;Bratislava 3;Bratislava 3;;Bratislava
Albánska;Albánska;831 06;Bratislava 35;Bratislava 35;;Bratislava
Albína Brunovského;Albína Brunovského;841 05;Bratislava 4;Bratislava 4;;Bratislava
Albrechtova;Albrechtova;821 03;Bratislava 3;Bratislava 3;;Bratislava
Alejová;Alejová;821 05;Bratislava 3;Bratislava 3;èísla 9, 11;Bratislava
Alejová;Alejová;821 09;Bratislava 3;Bratislava 3;;Bratislava
Alešova;Alešova;821 09;Bratislava 3;Bratislava 3;;Bratislava
Alexandra Dubèeka;Alexandra Dubèeka;;;;pozri Námestie Alexandra Dubèeka;Bratislava
Alexyho;Alexyho;;;;pozri Janka Alexyho;Bratislava
Alibernetová;Alibernetová;831 02;Bratislava 3;Bratislava 3;;Bratislava
Alstrova;Alstrova;831 06;Bratislava 35;Bratislava 35;;Bratislava
Alviano;Alviano;831 07;Bratislava 36;Bratislava 36;è. 13;Bratislava
Albetínska;Albetínska;811 09;Bratislava 1;Bratislava 1;;Bratislava
Amarelková;Amarelková;821 07;Bratislava 214;Bratislava 214;;Bratislava
Ambroseho;Ambroseho;851 02;Bratislava 5;Bratislava 5;;Bratislava
Ambrova;Ambrova;831 01;Bratislava 37;Bratislava 37;;Bratislava
Ambrušova;Ambrušova;821 04;Bratislava 3;Bratislava 3;;Bratislava
Americká;Americká;831 02;Bratislava 3;Bratislava 3;;Bratislava
Americké námestie;Americké námestie;811 07;Bratislava 1;Bratislava 1;è. 1;Bratislava
Americké námestie;Americké námestie;811 08;Bratislava 1;Bratislava 1;è. 3;Bratislava
Amurská;Amurská;821 06;Bratislava 214;Bratislava 214;;Bratislava
Andreja Hlinku;Andreja Hlinku;;;;pozri Námestie Andreja Hlinku;Bratislava
Andreja Mráza;Andreja Mráza;821 03;Bratislava 3;Bratislava 3;;Bratislava
Andreja Plávku;Andreja Plávku;811 06;Bratislava 1;Bratislava 1;;Bratislava
Andrusovova;Andrusovova;851 01;Bratislava 5;Bratislava 5;;Bratislava
Anenská;Anenská;811 05;Bratislava 1;Bratislava 1;è. 1, 3;Bratislava
Anenská;Anenská;811 07;Bratislava 1;Bratislava 1;è. 4;Bratislava
Anízová;Anízová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Antická;Antická;851 10;Bratislava 59;Bratislava 59;;Bratislava
Antolská;Antolská;851 07;Bratislava 5;Bratislava 5;;Bratislava
Antona Floreka;Antona Floreka;841 06;Bratislava 48;Bratislava 48;;Bratislava
Arménska;Arménska;821 06;Bratislava 214;Bratislava 214;;Bratislava
Astronomická;Astronomická;821 02;Bratislava 3;Bratislava 3;;Bratislava
Astrová;Astrová;821 01;Bratislava 3;Bratislava 3;;Bratislava
Attidova;Attidova;851 10;Bratislava 59;Bratislava 59;;Bratislava
Augustína Murína;Augustína Murína;831 53;Bratislava 35;Bratislava 35;;Bratislava
Auréliova;Auréliova;851 10;Bratislava 59;Bratislava 59;;Bratislava
Avarská;Avarská;841 10;Bratislava 49;Bratislava 49;;Bratislava
Azalková;Azalková;821 01;Bratislava 3;Bratislava 3;;Bratislava
Azovská;Azovská;821 08;Bratislava 3;Bratislava 3;;Bratislava
Azúrová;Azúrová;851 07;Bratislava 5;Bratislava 5;;Bratislava
Babuškova;Babuškova;821 03;Bratislava 3;Bratislava 3;;Bratislava
Bagarova;Bagarova;841 01;Bratislava 42;Bratislava 42;;Bratislava
Báger;Báger;830 06;Bratislava 36;Bratislava 36;;Bratislava
Bahniatková;Bahniatková;821 07;Bratislava 214;Bratislava 214;;Bratislava
Bachova;Bachova;821 03;Bratislava 3;Bratislava 3;;Bratislava
Bajkalská;Bajkalská;821 01;Bratislava 3;Bratislava 3;nepár. è. 21-25, 19B, 21A, 23A,B, 25A,B;Bratislava
Bajkalská;Bajkalská;821 01;Bratislava 3;Bratislava 3;è. 29A,C,D,E,F;Bratislava
Bajkalská;Bajkalská;821 02;Bratislava 3;Bratislava 3;nepár. è. 11-19, 13A,;Bratislava
Bajkalská;Bajkalská;821 03;Bratislava 3;Bratislava 3;è. 19A;Bratislava
Bajkalská;Bajkalská;821 05;Bratislava 3;Bratislava 3;nepár. è. 27-43, è. 30, 44, 29B, 45A,B;Bratislava
Bajkalská;Bajkalská;821 08;Bratislava 3;Bratislava 3;pár.è. 2,2A, 4, 10, 12A,B,C,D, 18,18A,;Bratislava
Bajkalská;Bajkalská;821 09;Bratislava 3;Bratislava 3;pár.è. 22-28, 22A, 24A, 26A;Bratislava
Bajkalská;Bajkalská;831 04;Bratislava 3;Bratislava 3;nepár. è. 1-9, 9A,B, 5A,B,C;Bratislava
Bajzova;Bajzova;821 08;Bratislava 3;Bratislava 3;;Bratislava
Bakošova;Bakošova;841 03;Bratislava 42;Bratislava 42;;Bratislava
Balkánska;Balkánska;851 10;Bratislava 59;Bratislava 59;;Bratislava
Baltská;Baltská;821 07;Bratislava 214;Bratislava 214;;Bratislava
Bancíkovej;Bancíkovej;821 03;Bratislava 3;Bratislava 3;;Bratislava
Banícka;Banícka;811 04;Bratislava 1;Bratislava 1;;Bratislava
Banièova;Banièova;831 07;Bratislava 36;Bratislava 36;;Bratislava
Baníkova;Baníkova;841 04;Bratislava 4;Bratislava 4;;Bratislava
Banskobystrická;Banskobystrická;811 06;Bratislava 1;Bratislava 1;;Bratislava
Banšelova;Banšelova;821 04;Bratislava 3;Bratislava 3;;Bratislava
Barancová;Barancová;841 06;Bratislava 48;Bratislava 48;;Bratislava
Bardejovská;Bardejovská;831 02;Bratislava 3;Bratislava 3;;Bratislava
Bárdošova;Bárdošova;831 01;Bratislava 37;Bratislava 37;;Bratislava
Barónka;Barónka;831 06;Bratislava 35;Bratislava 35;;Bratislava
Bartókova;Bartókova;811 02;Bratislava 1;Bratislava 1;;Bratislava
Bartoòova;Bartoòova;811 03;Bratislava 1;Bratislava 1;;Bratislava
Bartoškova;Bartoškova;831 04;Bratislava 3;Bratislava 3;;Bratislava
Baštová;Baštová;811 03;Bratislava 1;Bratislava 1;;Bratislava
Batkova;Batkova;841 01;Bratislava 42;Bratislava 42;;Bratislava
Bazalková;Bazalková;821 07;Bratislava 214;Bratislava 214;;Bratislava
Bazová;Bazová;821 08;Bratislava 3;Bratislava 3;;Bratislava
Bazovského;Bazovského;841 01;Bratislava 42;Bratislava 42;;Bratislava
Baantia;Baantia;821 05;Bratislava 3;Bratislava 3;;Bratislava
Baantnicová;Baantnicová;851 10;Bratislava 59;Bratislava 59;;Bratislava
Beblavého;Beblavého;811 01;Bratislava 1;Bratislava 1;;Bratislava
Bebravská;Bebravská;821 07;Bratislava 214;Bratislava 214;;Bratislava
Beckovská;Beckovská;821 04;Bratislava 3;Bratislava 3;;Bratislava
Bed¾ová;Bed¾ová;841 04;Bratislava 4;Bratislava 4;;Bratislava
Begóniová;Begóniová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Belániková;Belániková;841 04;Bratislava 4;Bratislava 4;;Bratislava
Belehradská;Belehradská;831 04;Bratislava 3;Bratislava 3;;Bratislava
Belianska;Belianska;831 01;Bratislava 37;Bratislava 37;;Bratislava
Belinského;Belinského;851 01;Bratislava 5;Bratislava 5;;Bratislava
Bellova;Bellova;831 01;Bratislava 37;Bratislava 37;;Bratislava
Belopotockého;Belopotockého;811 05;Bratislava 1;Bratislava 1;;Bratislava
Belova;Belova;;;;pozri Mateja Bela;Bratislava
Beòadická;Beòadická;851 06;Bratislava 5;Bratislava 5;;Bratislava
Bencúrova;Bencúrova;821 04;Bratislava 3;Bratislava 3;;Bratislava
Bendovej;Bendovej;;;;pozri Kristy Bendovej;Bratislava
Benediktiho;Benediktiho;811 05;Bratislava 1;Bratislava 1;;Bratislava
Beniakova;Beniakova;841 05;Bratislava 4;Bratislava 4;;Bratislava
Benkova;Benkova;;;;pozri Námestie Martina Benku;Bratislava
Beòovského;Beòovského;841 01;Bratislava 42;Bratislava 42;;Bratislava
Bernolákova;Bernolákova;811 07;Bratislava 1;Bratislava 1;;Bratislava
Beskydská;Beskydská;811 05;Bratislava 1;Bratislava 1;;Bratislava
Betliarska;Betliarska;851 07;Bratislava 5;Bratislava 5;;Bratislava
Bezekova;Bezekova;841 02;Bratislava 42;Bratislava 42;;Bratislava
Bezruèova;Bezruèova;811 09;Bratislava 1;Bratislava 1;;Bratislava
Béová;Béová;851 07;Bratislava 5;Bratislava 5;;Bratislava
Biela;Biela;811 01;Bratislava 1;Bratislava 1;;Bratislava
Bielkova;Bielkova;821 04;Bratislava 3;Bratislava 3;;Bratislava
Bieloruská;Bieloruská;821 06;Bratislava 214;Bratislava 214;;Bratislava
Biely krí;Biely krí;;;;pozri Námestie Biely krí;Bratislava
Bilíkova;Bilíkova;841 01;Bratislava 42;Bratislava 42;;Bratislava
Biskupická;Biskupická;821 06;Bratislava 214;Bratislava 214;;Bratislava
Björnsonova;Björnsonova;811 05;Bratislava 1;Bratislava 1;;Bratislava
Blagoevova;Blagoevova;851 04;Bratislava 5;Bratislava 5;;Bratislava
Blatnická;Blatnická;831 02;Bratislava 3;Bratislava 3;;Bratislava
Blatúchová;Blatúchová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Bledu¾ová;Bledu¾ová;841 08;Bratislava 49;Bratislava 49;;Bratislava
Blumentálska;Blumentálska;811 07;Bratislava 1;Bratislava 1;;Bratislava
Blyskáèová;Blyskáèová;841 05;Bratislava 4;Bratislava 4;;Bratislava
Bobu¾ová;Bobu¾ová;831 01;Bratislava 37;Bratislava 37;;Bratislava
Bociania;Bociania;841 10;Bratislava 49;Bratislava 49;;Bratislava
Boèná;Boèná;821 04;Bratislava 3;Bratislava 3;;Bratislava
Bodliaková;Bodliaková;821 07;Bratislava 214;Bratislava 214;;Bratislava
Bodrocká;Bodrocká;821 07;Bratislava 214;Bratislava 214;;Bratislava
Bodvianska;Bodvianska;821 07;Bratislava 214;Bratislava 214;;Bratislava
Bohrova;Bohrova;851 01;Bratislava 5;Bratislava 5;;Bratislava
Bohúòova;Bohúòova;811 04;Bratislava 1;Bratislava 1;;Bratislava
Bojnická;Bojnická;831 04;Bratislava 3;Bratislava 3;;Bratislava
Borágová;Borágová;821 06;Bratislava 214;Bratislava 214;;Bratislava
Borekova;Borekova;821 06;Bratislava 214;Bratislava 214;;Bratislava
Borievková;Borievková;821 07;Bratislava 214;Bratislava 214;;Bratislava
Borinská;Borinská;841 03;Bratislava 42;Bratislava 42;;Bratislava
Borodáèova;Borodáèova;821 03;Bratislava 3;Bratislava 3;;Bratislava
Borovicová;Borovicová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Borská;Borská;841 04;Bratislava 4;Bratislava 4;;Bratislava
Bosákova;Bosákova;851 04;Bratislava 5;Bratislava 5;;Bratislava
Boskovièova;Boskovièova;831 01;Bratislava 37;Bratislava 37;;Bratislava
Bošániho;Bošániho;841 01;Bratislava 42;Bratislava 42;;Bratislava
Botanická;Botanická;841 04;Bratislava 4;Bratislava 4;;Bratislava
Bottova;Bottova;811 09;Bratislava 1;Bratislava 1;;Bratislava
Boeny Nìmcovej;Boeny Nìmcovej;811 04;Bratislava 1;Bratislava 1;;Bratislava
Bôrik;Bôrik;811 02;Bratislava 1;Bratislava 1;;Bratislava
Bradáèova;Bradáèova;851 02;Bratislava 5;Bratislava 5;;Bratislava
Bradlianska;Bradlianska;811 03;Bratislava 1;Bratislava 1;;Bratislava
Branèská;Branèská;851 05;Bratislava 5;Bratislava 5;;Bratislava
Bratislava - Raèa;Bratislava - Raèa;831 06;Bratislava 35;Bratislava 35;záhradkárska oblas è. 9213;Bratislava
Bratislavská;Bratislavská;841 06;Bratislava 48;Bratislava 48;;Bratislava
Bratská;Bratská;851 01;Bratislava 5;Bratislava 5;;Bratislava
Breètanová;Breètanová;831 01;Bratislava 37;Bratislava 37;;Bratislava
Brestová;Brestová;821 02;Bratislava 3;Bratislava 3;;Bratislava
Brezová;Brezová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Brezovská;Brezovská;831 03;Bratislava 3;Bratislava 3;;Bratislava
Brená;Brená;841 07;Bratislava 49;Bratislava 49;;Bratislava
Bridlicová;Bridlicová;841 07;Bratislava 49;Bratislava 49;;Bratislava
Brieky;Brieky;831 02;Bratislava 3;Bratislava 3;;Bratislava
Brigádnická;Brigádnická;841 10;Bratislava 49;Bratislava 49;;Bratislava
Briitská;Briitská;841 01;Bratislava 42;Bratislava 42;;Bratislava
Brnianska;Brnianska;811 04;Bratislava 1;Bratislava 1;;Bratislava
Brodná;Brodná;821 05;Bratislava 3;Bratislava 3;;Bratislava
Brodská;Brodská;841 04;Bratislava 4;Bratislava 4;;Bratislava
Brokolicová;Brokolicová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Bronzová;Bronzová;851 10;Bratislava 59;Bratislava 59;;Bratislava
Broskyòová;Broskyòová;811 03;Bratislava 1;Bratislava 1;;Bratislava
Bršlenová;Bršlenová;841 08;Bratislava 49;Bratislava 49;;Bratislava
Brúderovej;Brúderovej;;;;pozri Kataríny Brúderovej;Bratislava
Brumovická;Brumovická;841 06;Bratislava 48;Bratislava 48;;Bratislava
Brusnicová;Brusnicová;831 01;Bratislava 37;Bratislava 37;;Bratislava
Bøeclavská;Bøeclavská;811 04;Bratislava 1;Bratislava 1;;Bratislava
Buèinová;Buèinová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Budatínska;Budatínska;851 05;Bratislava 5;Bratislava 5;nepár. è.1-31, 1A,27V;Bratislava
Budatínska;Budatínska;851 06;Bratislava 5;Bratislava 5;pár.è. 10, 12, 16-36, 82, 34A,B;Bratislava
Budatínska;Budatínska;851 06;Bratislava 5;Bratislava 5;nepár.è. 33-43,47-81,53B,57A,B,59A;Bratislava
Búdkova  cesta;Búdkova  cesta;811 04;Bratislava 1;Bratislava 1;;Bratislava
Budovate¾ská;Budovate¾ská;821 08;Bratislava 3;Bratislava 3;;Bratislava
Budyšínska;Budyšínska;831 02;Bratislava 3;Bratislava 3;pár.è. 32-40;Bratislava
Budyšínska;Budyšínska;831 03;Bratislava 3;Bratislava 3;"nepár.è. 1-5; pár. è. 2-22, 2A, 10A, 12A";Bratislava
Bujnákova;Bujnákova;841 01;Bratislava 42;Bratislava 42;;Bratislava
Buková;Buková;811 02;Bratislava 1;Bratislava 1;;Bratislava
Bukovèana;Bukovèana;;;;pozri Ivana Bukovèana;Bratislava
Bukovinská;Bukovinská;831 06;Bratislava 35;Bratislava 35;;Bratislava
Bukurešská;Bukurešská;811 04;Bratislava 1;Bratislava 1;;Bratislava
Bulharská;Bulharská;821 04;Bratislava 3;Bratislava 3;;Bratislava
Bulíkova;Bulíkova;851 04;Bratislava 5;Bratislava 5;;Bratislava
Bullova;Bullova;841 01;Bratislava 42;Bratislava 42;;Bratislava
Burgundská;Burgundská;831 52;Bratislava 35;Bratislava 35;;Bratislava
Buzalkova;Buzalkova;831 07;Bratislava 36;Bratislava 36;;Bratislava
Bylinková;Bylinková;851 10;Bratislava 59;Bratislava 59;;Bratislava
Bystrého;Bystrého;821 03;Bratislava 3;Bratislava 3;;Bratislava
